StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612C00144000,144.0,2015-06-12,Call,0.01,0.00,0.01,20,161,12:38
AAPL,AAPL150612C00145000,145.0,2015-06-12,Call,0.01,0.00,0.01,14,272,12:38
AAPL,AAPL150612C00146000,146.0,2015-06-12,Call,0.01,0.00,0.01,10,10,12:38
AAPL,AAPL150612C00147000,147.0,2015-06-12,Call,0.02,0.00,0.01,10,10,12:38
AAPL,AAPL150612C00150000,150.0,2015-06-12,Call,0.04,0.00,0.01,20,149,12:38
AAPL,AAPL150612C00155000,155.0,2015-06-12,Call,0.01,0.00,0.01,17,19,12:38
AAPL,AAPL150612C00160000,160.0,2015-06-12,Call,0.02,0.00,0.01,5,41,12:38
AAPL,AAPL150612P00095000,95.0,2015-06-12,Put,0.01,0.00,0.01,1,2,12:38
AAPL,AAPL150612P00100000,100.0,2015-06-12,Put,0.01,0.00,0.01,1000,1492,12:38
AAPL,AAPL150612P00105000,105.0,2015-06-12,Put,0.01,0.00,0.01,926,1502,12:38
AAPL,AAPL150612P00110000,110.0,2015-06-12,Put,0.01,0.00,0.01,239,2437,12:38
AAPL,AAPL150612P00112000,112.0,2015-06-12,Put,0.01,0.00,0.01,842,1990,12:38
AAPL,AAPL150612P00113000,113.0,2015-06-12,Put,0.01,0.00,0.01,400,1086,12:38
AAPL,AAPL150612P00114000,114.0,2015-06-12,Put,0.01,0.00,0.01,2400,2927,12:38
AAPL,AAPL150612P00115000,115.0,2015-06-12,Put,0.01,0.00,0.01,10,4525,12:38
AAPL,AAPL150612P00116000,116.0,2015-06-12,Put,0.01,0.00,0.01,362,4375,12:38
AAPL,AAPL150612P00117000,117.0,2015-06-12,Put,0.01,0.00,0.01,2,3570,12:38
AAPL,AAPL150612P00118000,118.0,2015-06-12,Put,0.01,0.00,0.01,5,2123,12:38
AAPL,AAPL150612P00119000,119.0,2015-06-12,Put,0.01,0.00,0.01,1240,3732,12:38
AAPL,AAPL150612P00120000,120.0,2015-06-12,Put,0.01,0.00,0.01,75,8596,12:38
AAPL,AAPL150612P00121000,121.0,2015-06-12,Put,0.01,0.00,0.01,64,5574,12:38
AAPL,AAPL150612P00122000,122.0,2015-06-12,Put,0.01,0.00,0.01,537,8774,12:38
AAPL,AAPL150612P00123000,123.0,2015-06-12,Put,0.02,0.00,0.01,218,10278,12:38
AAPL,AAPL150612P00124000,124.0,2015-06-12,Put,0.01,0.00,0.01,875,13830,12:38
AAPL,AAPL150612P00125000,125.0,2015-06-12,Put,0.01,0.00,0.01,2028,31370,12:38
AAPL,AAPL150612P00126000,126.0,2015-06-12,Put,0.01,0.01,0.02,10609,17022,12:38
AAPL,AAPL150612P00127000,127.0,2015-06-12,Put,0.03,0.03,0.04,36327,19303,12:38
AAPL,AAPL150612P00128000,128.0,2015-06-12,Put,0.37,0.38,0.38,42069,23787,12:38
AAPL,AAPL150612P00129000,129.0,2015-06-12,Put,1.28,1.25,1.27,22991,16542,12:38
AAPL,AAPL150612P00130000,130.0,2015-06-12,Put,2.22,2.21,2.24,12687,10732,12:38
AAPL,AAPL150612P00131000,131.0,2015-06-12,Put,3.25,3.20,3.30,872,5375,12:38
AAPL,AAPL150612P00132000,132.0,2015-06-12,Put,4.31,4.25,4.35,774,3547,12:38
AAPL,AAPL150612P00133000,133.0,2015-06-12,Put,5.40,5.25,5.35,212,1553,12:38
AAPL,AAPL150612P00134000,134.0,2015-06-12,Put,6.31,6.25,6.35,134,1009,12:38
AAPL,AAPL150612P00135000,135.0,2015-06-12,Put,7.44,7.25,7.35,67,1369,12:38
AAPL,AAPL150612P00136000,136.0,2015-06-12,Put,8.35,8.25,8.35,92,634,12:38
AAPL,AAPL150612P00137000,137.0,2015-06-12,Put,9.10,9.25,9.35,1,586,12:38
AAPL,AAPL150612P00138000,138.0,2015-06-12,Put,9.00,10.25,10.35,17,420,12:38
